0,1,2,3,4
3.0,1.0,22.0,7.25,2.0
1.0,0.0,38.0,71.2833023071289,2.0
3.0,0.0,26.0,7.925000190734863,1.0
1.0,0.0,35.0,53.099998474121094,2.0
3.0,1.0,35.0,8.050000190734863,1.0
3.0,1.0,30.0,8.45829963684082,1.0
1.0,1.0,54.0,51.86249923706055,1.0
3.0,1.0,2.0,21.075000762939453,5.0
3.0,0.0,27.0,11.133299827575684,3.0
2.0,0.0,14.0,30.07080078125,2.0
3.0,0.0,4.0,16.700000762939453,3.0
1.0,0.0,58.0,26.549999237060547,1.0
3.0,1.0,20.0,8.050000190734863,1.0
3.0,1.0,39.0,31.274999618530273,7.0
3.0,0.0,14.0,7.8541998863220215,1.0
2.0,0.0,55.0,16.0,1.0
3.0,1.0,2.0,29.125,6.0
2.0,1.0,30.0,13.0,1.0
3.0,0.0,31.0,18.0,2.0
3.0,0.0,30.0,7.224999904632568,1.0
2.0,1.0,35.0,26.0,1.0
2.0,1.0,34.0,13.0,1.0
3.0,0.0,15.0,8.029199600219727,1.0
1.0,1.0,28.0,35.5,1.0
3.0,0.0,8.0,21.075000762939453,5.0
3.0,0.0,38.0,31.387500762939453,7.0
3.0,1.0,30.0,7.224999904632568,1.0
1.0,1.0,19.0,263.0,6.0
3.0,0.0,30.0,7.879199981689453,1.0
3.0,1.0,30.0,7.8958001136779785,1.0
1.0,1.0,40.0,27.720800399780273,1.0
1.0,0.0,30.0,146.5207977294922,2.0
3.0,0.0,30.0,7.75,1.0
2.0,1.0,66.0,10.5,1.0
1.0,1.0,28.0,82.1707992553711,2.0
1.0,1.0,42.0,52.0,2.0
3.0,1.0,30.0,7.2291998863220215,1.0
3.0,1.0,21.0,8.050000190734863,1.0
3.0,0.0,18.0,18.0,3.0
3.0,0.0,14.0,11.241700172424316,2.0
3.0,0.0,40.0,9.475000381469727,2.0
2.0,0.0,27.0,21.0,2.0
3.0,1.0,30.0,7.8958001136779785,1.0
2.0,0.0,3.0,41.579200744628906,4.0
3.0,0.0,19.0,7.879199981689453,1.0
3.0,1.0,30.0,8.050000190734863,1.0
3.0,1.0,30.0,15.5,2.0
3.0,0.0,30.0,7.75,1.0
3.0,1.0,30.0,21.67919921875,3.0
3.0,0.0,18.0,17.799999237060547,2.0
3.0,1.0,7.0,39.6875,6.0
3.0,1.0,21.0,7.800000190734863,1.0
1.0,0.0,49.0,76.72920227050781,2.0
2.0,0.0,29.0,26.0,2.0
1.0,1.0,65.0,61.97919845581055,2.0
1.0,1.0,30.0,35.5,1.0
2.0,0.0,21.0,10.5,1.0
3.0,1.0,28.0,7.2291998863220215,1.0
2.0,0.0,5.0,27.75,4.0
3.0,1.0,11.0,46.900001525878906,8.0
3.0,1.0,22.0,7.2291998863220215,1.0
1.0,0.0,38.0,80.0,1.0
1.0,1.0,45.0,83.4749984741211,2.0
3.0,1.0,4.0,27.899999618530273,6.0
1.0,1.0,30.0,27.720800399780273,1.0
3.0,1.0,30.0,15.245800018310547,3.0
2.0,0.0,29.0,10.5,1.0
3.0,1.0,19.0,8.158300399780273,1.0
3.0,0.0,17.0,7.925000190734863,7.0
3.0,1.0,26.0,8.662500381469727,3.0
2.0,1.0,32.0,10.5,1.0
3.0,0.0,16.0,46.900001525878906,8.0
2.0,1.0,21.0,73.5,1.0
3.0,1.0,26.0,14.45419979095459,2.0
3.0,1.0,32.0,56.49580001831055,1.0
3.0,1.0,25.0,7.650000095367432,1.0
3.0,1.0,30.0,7.8958001136779785,1.0
3.0,1.0,30.0,8.050000190734863,1.0
2.0,1.0,0.0,29.0,3.0
3.0,0.0,30.0,12.475000381469727,1.0
3.0,1.0,22.0,9.0,1.0
3.0,1.0,29.0,9.5,1.0
3.0,0.0,30.0,7.787499904632568,1.0
1.0,1.0,28.0,47.099998474121094,1.0
2.0,0.0,17.0,10.5,1.0
