0,1,2,3,4
3.0,1.0,34.0,7.82919979095459,1.0
3.0,0.0,47.0,7.0,2.0
2.0,1.0,62.0,9.6875,1.0
3.0,1.0,27.0,8.662500381469727,1.0
3.0,0.0,22.0,12.287500381469727,3.0
3.0,1.0,14.0,9.225000381469727,1.0
3.0,0.0,30.0,7.629199981689453,1.0
2.0,1.0,26.0,29.0,3.0
3.0,0.0,18.0,7.2291998863220215,1.0
3.0,1.0,21.0,24.149999618530273,3.0
3.0,1.0,30.0,7.8958001136779785,1.0
1.0,1.0,46.0,26.0,1.0
1.0,0.0,23.0,82.2667007446289,2.0
2.0,1.0,63.0,26.0,2.0
1.0,0.0,47.0,61.17499923706055,2.0
2.0,0.0,24.0,27.720800399780273,2.0
2.0,1.0,35.0,12.350000381469727,1.0
3.0,1.0,21.0,7.224999904632568,1.0
3.0,0.0,27.0,7.925000190734863,2.0
3.0,0.0,45.0,7.224999904632568,1.0
1.0,1.0,55.0,59.400001525878906,2.0
3.0,1.0,9.0,3.170799970626831,2.0
1.0,0.0,30.0,31.683300018310547,1.0
1.0,1.0,21.0,61.37919998168945,2.0
1.0,0.0,48.0,262.375,5.0
3.0,1.0,50.0,14.5,2.0
1.0,0.0,22.0,61.97919845581055,2.0
3.0,1.0,22.0,7.224999904632568,1.0
1.0,1.0,41.0,30.5,1.0
3.0,1.0,30.0,21.67919921875,3.0
2.0,1.0,50.0,26.0,2.0
2.0,1.0,24.0,31.5,3.0
3.0,0.0,33.0,20.575000762939453,4.0
3.0,0.0,30.0,23.450000762939453,4.0
1.0,1.0,30.0,57.75,2.0
3.0,1.0,18.0,7.2291998863220215,1.0
3.0,0.0,30.0,8.050000190734863,1.0
3.0,0.0,21.0,8.662500381469727,1.0
3.0,1.0,25.0,9.5,1.0
3.0,1.0,30.0,56.49580001831055,1.0
3.0,1.0,39.0,13.41670036315918,2.0
1.0,1.0,30.0,26.549999237060547,1.0
3.0,1.0,41.0,7.849999904632568,1.0
2.0,0.0,30.0,13.0,1.0
1.0,0.0,45.0,52.55419921875,2.0
3.0,1.0,25.0,7.925000190734863,1.0
1.0,1.0,45.0,29.700000762939453,1.0
3.0,1.0,30.0,7.75,1.0
